,Learning_method,Role,Yearly_pay,Visualisation_tool,Charts,Organization_area,Undergraduate_major,Gender,Country,Hour_data_visualization,Hour_data_engineering,Hour_data_science,Hour_design,Hour_data_prep,Hour_build_portfolio,Presentation_format,tool_Excel,tool_Tableau,tool_R,tool_ggplot2,tool_Python,tool_D3,tool_Pen&Paper,tool_Illustrator,tool_PowerBI,tool_Plotly,chart_BarChart,chart_LineChart,chart_Scatterplot,chart_PieChart,chart_Hexbin/Heatmap,chart_Infographics,chart_Treemap,chart_FlowChart),chart_FlowDiagram(Sankey,chart_DAGRE,chart_ChoroplethMap,chart_NetworkDiagram,format_Presentations,format_Dashboard,format_Documents,format_Email,format_Embeddedinatool,format_StaticWebPage,format_InteractiveNotebook,format_Scrollytelling
94,Mostly Self-Taught,Engineer,$80k - $100k,Tableau,"LineChart,BarChart",Private sector,Electronics and Communication Engineering,Man,Ireland,15.0,5.0,0.0,5.0,10.0,5.0,"Embeddedinatool,Dashboard,Presentations",no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no
96,Mostly Self-Taught,Developer,$60k - $80k,"PowerBI,Tableau","LineChart,BarChart,PieChart",Public sector,Mathematics,Man,USA,15.0,4.0,1.0,5.0,10.0,5.0,"Dashboard,Email",no,yes,no,no,no,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no
98,Mostly Self-Taught,Analyst,$40k - $60k,Tableau,"LineChart,BarChart,PieChart,Scatterplot",Public sector,Economics,Man,USA,20.0,0.0,0.0,0.0,20.0,0.0,"Embeddedinatool,Dashboard",no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no
99,Mostly Self-Taught,Analyst,$60k - $80k,"D3,Excel,ggplot2,R","LineChart,BarChart,Scatterplot,FlowDiagram(Sankey,DAGRE,FlowChart),box&whiskers,waterfall",Private sector,Multidisciplinary engineering,Man,Germany,1.0,15.0,10.0,0.0,5.0,0.0,"Dashboard,StaticWebPage,Presentations",yes,no,yes,yes,no,yes,no,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,yes,yes,no,no,no,yes,no,no
100,Mostly Self-Taught,Leadership,$120k - $140k,"Excel,Python,Tableau,Pen&Paper","LineChart,BarChart,Scatterplot",Private sector,Mathematics/Physics,Man,USA,2.0,5.0,0.0,0.0,0.0,0.0,"Embeddedinatool,Dashboard,Documents,Presentations,Email",yes,yes,no,no,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,no
101,Mostly Self-Taught,Analyst,$80k - $100k,"Excel,ggplot2,PowerBI,R,Tableau,Flourish","LineChart,BarChart,PieChart,Scatterplot,Treemap,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Applied Statistics,Man,United Kingdom,2.0,5.0,10.0,1.0,10.0,1.0,"Dashboard,Documents,Presentations",yes,yes,yes,yes,no,no,no,no,yes,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no
103,Mostly Self-Taught,Leadership,$120k - $140k,"D3,Angular,Excel,ggplot2,Highcharts,Illustrator,Leaflet,Mapbox,Plotly,R,Tableau,Vega,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,Treemap,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,MSc EE,Man,Europe,0.0,0.0,0.0,2.0,0.0,4.0,"Embeddedinatool,Dashboard,Scrollytelling,StaticWebPage,InteractiveNotebook,Presentations",yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes
105,Mostly Self-Taught,Leadership,$100k - $120k,"ArcGIS,Excel,ggplot2,Python,QGIS,R","BarChart,Scatterplot,ChoroplethMap",Private sector,Chemistry ,Man,USA,4.0,4.0,4.0,2.0,2.0,0.0,"StaticWebPage,Documents,Presentations,Email",yes,no,yes,yes,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,yes,yes,no,yes,no,no
106,Mostly Self-Taught,Leadership,$80k - $100k,"ArcGIS,ggplot2,Plotly,PowerBI,Python,R","LineChart,BarChart,PieChart,Scatterplot,Infographics,Treemap,NetworkDiagram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Public sector,Management,Man,Brazil,8.0,8.0,8.0,0.0,8.0,0.0,"Embeddedinatool,Dashboard,StaticWebPage,Presentations,Email",no,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no
108,Mostly Self-Taught,Leadership,$200k+,"Python,Vue,Matplotlib","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,PictorialVisualization,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Engineering,Man,USA,6.0,12.0,12.0,0.0,0.0,0.0,"Scrollytelling,InteractiveNotebook,Documents,Presentations,Email,Newspaperorotherphysicalhandout",no,no,no,no,yes,no,no,no,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,yes,no,yes,yes,no,no,yes,yes
110,Mostly Self-Taught,Leadership,$80k - $100k,"D3,ggplot2,Leaflet,QGIS,R,Tableau,Pen&Paper,Canvas","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,NetworkDiagram,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Public sector,Civil and Environmental Engineering,Man,USA,4.0,6.0,20.0,2.0,4.0,0.0,"Scrollytelling,StaticWebPage,Presentations,Newspaperorotherphysicalhandout",no,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes
112,Mostly Self-Taught,Leadership,$120k - $140k,"D3,ggplot2,Python,R","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Force-DirectedGraph",Private sector,Computer Science,Man,USA,1.0,10.0,5.0,1.0,2.0,1.0,"Dashboard,StaticWebPage,Documents,Presentations",no,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no
113,Mostly Self-Taught,Leadership,$60k - $80k,Tableau,"LineChart,BarChart,Treemap,ChoroplethMap",Private sector,Theater,Man,USA,3.0,0.0,0.0,0.0,2.0,0.0,embedinwebsites,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no
114,Mostly Self-Taught,Scientist,$100k - $120k,"ggplot2,R,Pen&Paper","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Treemap,Force-DirectedGraph",Private sector,Biochemistry,Man,Belgium,8.0,12.0,12.0,2.0,6.0,8.0,"StaticWebPage,InteractiveNotebook,Documents,Presentations,Email",no,no,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,no,yes,yes,no
115,Mostly Self-Taught,Engineer,$120k - $140k,"Python,Matplotlib","LineChart,BarChart,Scatterplot,NetworkDiagram,RasterMap",US National Lab,Physics and Math,Man,USA,1.0,10.0,0.0,0.0,0.0,0.0,"InteractiveNotebook,Documents,Email",no,no,no,no,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,no,yes,no
117,Mostly Self-Taught,Scientist,$100k - $120k,"Excel,ggplot2,R,Pen&Paper","LineChart,BarChart,Scatterplot,FlowDiagram(Sankey,DAGRE,FlowChart)",Public sector,Medicine,Man,United Kingdom,5.0,0.0,5.0,1.0,2.0,0.0,"Documents,Presentations,Email",yes,no,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,yes,no,yes,yes,no,no,no,no
118,Mostly Self-Taught,Leadership,$180k - $200k,"D3,Excel,Plotly,Python,R,Vega,Matplotlib,Looker","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Not-for-profit,Environmental Science,Man,USA,6.0,0.0,2.0,2.0,2.0,0.0,"Embeddedinatool,Dashboard,StaticWebPage,InteractiveNotebook,Documents,Presentations",yes,no,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
120,Mostly Self-Taught,Designer,$80k - $100k,"D3,Excel,Highcharts,Illustrator,Leaflet,Mapbox,React,Tableau,Vue,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,Treemap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Industrial Design,Man,Brazil,20.0,0.0,6.0,20.0,3.0,2.0,"Embeddedinatool,Dashboard,Scrollytelling,StaticWebPage,Presentations,Newspaperorotherphysicalhandout",yes,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,no,yes
124,Mostly Self-Taught,Leadership,$200k+,"D3,Excel,Illustrator,Plotly,Python,Vue","LineChart,BarChart,PieChart,Scatterplot,Infographics,Treemap,Dendrogram,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart),Force-DirectedGraph",Not-for-profit,Economics,Man,USA,4.0,4.0,4.0,8.0,0.0,0.0,"Embeddedinatool,Dashboard,StaticWebPage,InteractiveNotebook,Presentations",yes,no,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,no
129,Equal Parts School and Self-Taught,Leadership,$60k - $80k,"PowerBI,Tableau,Alteryx","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap",Private sector,English Language,Man,United Kingdom,3.0,0.0,1.0,2.0,2.0,0.0,"Dashboard,Documents,Presentations",no,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,no
130,Mostly Self-Taught,Analyst,$40k - $60k,"ArcGIS,Excel,ggplot2,Illustrator,Plotly,QGIS,R","LineChart,BarChart,Scatterplot,Treemap,RasterMap",Public sector,Urban Planning,Man,USA,10.0,5.0,5.0,3.0,3.0,0.0,"Embeddedinatool,Dashboard,Presentations",yes,no,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,yes,no,no,no
132,Equal Parts School and Self-Taught,Analyst,$60k - $80k,"D3,Excel,ggplot2,R,Tableau,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,FlowDiagram(Sankey,DAGRE,FlowChart),Histogram",Not-for-profit,Mathematics,Man,USA,20.0,3.0,2.0,5.0,10.0,0.0,"Embeddedinatool,Dashboard,Presentations,Email",yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,no,no
134,Mostly Self-Taught,Analyst,< $20k,"D3,Gephi,Leaflet,Processing,Python,QGIS,P5/Processing","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,Treemap,NetworkDiagram,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart),Force-DirectedGraph",Journalism,Computational phisics and complex systems,Man,Mexico,10.0,0.0,10.0,5.0,10.0,5.0,"Embeddedinatool,Scrollytelling,StaticWebPage,InteractiveNotebook",no,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes
135,Mostly Self-Taught,Academic,$40k - $60k,"D3,ggplot2,Illustrator,R","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,Dendrogram,NetworkDiagram,ChoroplethMap,SwarmChart",Academic,Microbiology,Man,USA,10.0,15.0,5.0,3.0,10.0,5.0,"StaticWebPage,InteractiveNotebook,Documents,Presentations",no,no,yes,yes,no,yes,no,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,yes,yes,yes,no,yes,no,no,yes,yes,no
136,Mostly Self-Taught,Analyst,$60k - $80k,"D3,ggplot2,PowerBI,R,Tableau","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,PictorialVisualization,ChoroplethMap",Private sector,Political Science,Man,USA,15.0,5.0,5.0,5.0,5.0,20.0,"Dashboard,StaticWebPage,InteractiveNotebook,Documents,Email",no,yes,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no,yes,yes,yes,no,yes,yes,no
137,Mostly Self-Taught,Analyst,$20k - $40k,Excel,"LineChart,BarChart,PieChart,Scatterplot,Treemap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Economics,Man,Malaysia,5.0,20.0,0.0,2.0,10.0,0.0,"Documents,Presentations,Email",yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,yes,no,yes,yes,no,no,no,no
138,Equal Parts School and Self-Taught,Analyst,$40k - $60k,"Excel,ggplot2,Plotly,PowerBI,Python,R,Tableau,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Treemap",Public sector,Business Analytics,Man,USA,5.0,10.0,1.0,4.0,20.0,0.0,"Embeddedinatool,Dashboard,InteractiveNotebook,Presentations,Email",yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,no,yes,yes,no,yes,no
140,Mostly Self-Taught,Analyst,$80k - $100k,"Excel,ggplot2,Plotly,Python,Tableau","LineChart,BarChart,Scatterplot,Treemap",Public sector,Computer Science,Man,USA,10.0,10.0,10.0,5.0,10.0,1.0,"Dashboard,Presentations,Email",yes,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,no,no,no,no
141,Mostly Self-Taught,Student,$40k - $60k,"Excel,ggplot2,PowerBI,R,Tableau,Matplotlib","LineChart,BarChart,Scatterplot,Treemap",Private sector,Electronics Engineering,Man,Canada,5.0,0.0,10.0,2.0,10.0,10.0,"Dashboard,Scrollytelling,Documents,Email",yes,yes,yes,yes,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,yes
142,Mostly Self-Taught,Analyst,$40k - $60k,"Excel,PowerBI,Matplotlib","LineChart,BarChart,Scatterplot,Hexbin/Heatmap",Private sector,Finance,Man,Spain,10.0,3.0,5.0,3.0,15.0,0.0,"Dashboard,Documents,Presentations,Email",yes,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no
145,Mostly Self-Taught,Analyst,$80k - $100k,"PowerBI,Tableau,Pen&Paper","LineChart,BarChart,Scatterplot,Infographics",Private sector,English,Man,USA,8.0,4.0,1.0,4.0,22.0,1.0,"Dashboard,Presentations",no,yes,no,no,no,no,yes,no,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no
146,Mostly Self-Taught,Analyst,$40k - $60k,"Qlik,ThoughtSpot","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap",Public sector,Geography/History,Man,USA,10.0,0.0,0.0,0.0,10.0,0.0,"Dashboard,Presentations",no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no
148,Mostly Self-Taught,Engineer,$120k - $140k,"Excel,PowerBI,Python,Pen&Paper,Matplotlib","LineChart,BarChart,PieChart",Private sector,Engineering,Man,USA,5.0,15.0,10.0,5.0,5.0,0.0,"Dashboard,Documents,Presentations,Email",yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no
149,Mostly Self-Taught,Engineer,$100k - $120k,"Excel,PowerBI,Tableau","LineChart,BarChart,Hexbin/Heatmap",Private sector,Industrial Engineering,Man,Canada,5.0,10.0,5.0,0.0,20.0,0.0,"Dashboard,Presentations,Email",yes,yes,no,no,no,no,no,no,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no
150,Equal Parts School and Self-Taught,Analyst,$100k - $120k,"Excel,Tableau,SAS","LineChart,BarChart,Scatterplot,Treemap,SwarmChart",Private sector,Economics,Man,USA,8.0,4.0,0.0,2.0,16.0,0.0,"StaticWebPage,InteractiveNotebook,Presentations",yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,yes,no
151,Mostly Self-Taught,Analyst,$60k - $80k,"Excel,Mapbox,Tableau","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Linguistics,Man,USA,10.0,10.0,5.0,5.0,10.0,0.0,"Documents,Presentations,Email",yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,no,no,no,no
152,Mostly Self-Taught,Analyst,$60k - $80k,"D3,Excel,ggplot2,PowerBI,Python,R","LineChart,BarChart,Scatterplot,Treemap,NetworkDiagram,ChoroplethMap",Private sector,Economics / Engineering,Man,New Zealand,2.0,8.0,2.0,0.0,8.0,3.0,"Embeddedinatool,Dashboard,StaticWebPage,InteractiveNotebook,Documents,Presentations,Email",yes,no,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
153,Equal Parts School and Self-Taught,Analyst,$100k - $120k,"ArcGIS,QGIS,R,Tableau,Pen&Paper","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,RasterMap",Public sector,Engineering and GIS,Man,Canada,10.0,8.0,1.0,10.0,6.0,0.0,"Dashboard,Scrollytelling,Documents,Newspaperorotherphysicalhandout",no,yes,yes,no,no,no,yes,no,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes
154,Mostly Self-Taught,Other,$40k - $60k,"Excel,Illustrator,Tableau,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Infographics,Treemap,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Journalism,Journalism ,Man,USA,20.0,0.0,0.0,10.0,2.0,0.0,Newspaperorotherphysicalhandout,yes,yes,no,no,no,no,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no
155,Mostly Self-Taught,Engineer,$100k - $120k,"Excel,PowerBI,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Infographics,Treemap,FlowDiagram(Sankey,DAGRE,FlowChart)",Public sector,Computer Science and Engineering,Man,USA,10.0,15.0,0.0,5.0,10.0,0.0,"Dashboard,Scrollytelling,Documents,Presentations,Email",yes,no,no,no,no,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,yes
166,Mostly Self-Taught,Analyst,$40k - $60k,"D3,Excel,Python,QGIS,Matplotlib","LineChart,BarChart,Scatterplot,Infographics",Journalism,Political Science,Man,Sweden,3.0,12.0,12.0,3.0,12.0,4.0,"StaticWebPage,Newspaperorotherphysicalhandout",yes,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
167,Equal Parts School and Self-Taught,Other,$60k - $80k,"D3,ggplot2,Illustrator,QGIS,R","LineChart,BarChart,Scatterplot,ChoroplethMap,wafflechart,ridgelines,polarcoordinates",Journalism,Journalism,Man,USA,5.0,5.0,10.0,5.0,10.0,5.0,StaticWebPage,no,no,yes,yes,no,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no
168,Mostly Self-Taught,Analyst,< $20k,"D3,Excel,ggplot2,Leaflet,Plotly,PowerBI,R,React,WebComponents,Otherphysicalmaterials","LineChart,BarChart,PieChart,Scatterplot,Infographics",Private sector,"mathematics, data structure",Man,Russia,2.0,10.0,5.0,1.0,21.0,1.0,"StaticWebPage,Documents,Presentations",yes,no,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,no
169,Equal Parts School and Self-Taught,Leadership,$200k+,"Cytoscape,D3,ggplot2,Python,R,React,Vega,Looker,Semiotic","LineChart,BarChart,PieChart,Scatterplot,Infographics,Treemap,NetworkDiagram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart),SwarmChart,Force-DirectedGraph",Private sector,Mechanical Engineering,Man,USA,4.0,0.0,0.0,2.0,0.0,0.0,"Embeddedinatool,Dashboard,Scrollytelling,StaticWebPage,InteractiveNotebook,Presentations",no,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes
170,Mostly Self-Taught,Developer,$60k - $80k,"D3,Mapbox,kepler.gl,Qlik,R,React,Semiotic,WebComponents,WebGL,Pen&Paper,Otherphysicalmaterials,Greensock,Canvas","LineChart,BarChart,Scatterplot,Infographics,3DCharts,VR/ARCharts",Private sector,Master in Business Intelligence,Man,Finland,10.0,3.0,2.0,8.0,16.0,1.0,"Embeddedinatool,Dashboard,StaticWebPage,InteractiveNotebook",no,no,yes,no,no,yes,yes,no,no,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,no
171,Mostly Self-Taught,Leadership,$140k - $160k,"D3,Plotly,Python,Tableau","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Treemap,Dendrogram,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart),Force-DirectedGraph",Public sector,Mathematics,Man,USA,5.0,10.0,2.0,5.0,15.0,0.0,"Dashboard,Scrollytelling,InteractiveNotebook,Documents,Presentations,Email",no,yes,no,no,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes
173,Equal Parts School and Self-Taught,Developer,$200k+,"PowerBI,Python,Matplotlib","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Dendrogram,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Chemistry,Man,USA,2.0,2.0,20.0,0.0,2.0,0.0,"Embeddedinatool,InteractiveNotebook",no,no,no,no,yes,no,no,no,yes,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no
174,Mostly Self-Taught,Analyst,$60k - $80k,"D3,Excel,ggplot2,Illustrator,Leaflet,Python,R,Tableau,Matplotlib","LineChart,BarChart,Scatterplot,Infographics,Treemap,Dendrogram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Mathematics,Man,United Kingdom,10.0,10.0,20.0,2.0,20.0,5.0,"Dashboard,Documents,Presentations",yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no
178,Mostly Self-Taught,Scientist,< $20k,"D3,Excel,PowerBI,Python","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap,ChoroplethMap,3DCharts,Force-DirectedGraph",Private sector,Computer Engineering,Man,Turkey,9.0,9.0,9.0,2.0,9.0,0.0,"Embeddedinatool,Dashboard,Documents,Email",yes,no,no,no,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,yes,yes,yes,yes,no,no,no
179,Mostly Self-Taught,Scientist,$80k - $100k,"D3,Gephi,Leaflet,kepler.gl,Python,Tableau,WebGL,Canvas,P5/Processing","LineChart,BarChart,Infographics,NetworkDiagram,Force-DirectedGraph",Private sector,Computer science,Man,France,10.0,5.0,5.0,10.0,5.0,5.0,"StaticWebPage,Documents,Presentations",no,yes,no,no,yes,yes,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,no,no,yes,no,no
180,Mostly Self-Taught,Other,$40k - $60k,"D3,ggplot2,Leaflet,Plotly,Python,R,Vega","LineChart,BarChart,Scatterplot,Infographics,ChoroplethMap,SwarmChart",Not-for-profit,Physics,Man,United Kingdom,4.0,10.0,10.0,2.0,10.0,1.0,"Embeddedinatool,Dashboard,StaticWebPage,InteractiveNotebook,Documents,Presentations,Email",no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no
181,Mostly Self-Taught,Scientist,$40k - $60k,"D3,ggplot2,Plotly,Python,R,matplotlib,seaborn,grid,lattice","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Biology,Man,Canada,5.0,10.0,15.0,0.0,5.0,10.0,"InteractiveNotebook,Documents,Presentations,Email",no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no
187,Mostly Self-Taught,Developer,$160k - $180k,"D3,Plotly,PowerBI,Python,Pen&Paper,Matplotlib","LineChart,BarChart,Scatterplot,NetworkDiagram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart),SwarmChart,Force-DirectedGraph",Public sector,Math & Stats,Man,USA,15.0,0.0,10.0,10.0,5.0,0.0,"Embeddedinatool,Scrollytelling,StaticWebPage,InteractiveNotebook",no,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes
191,Mostly Self-Taught,Analyst,$100k - $120k,"Gephi,Python,Tableau,Matplotlib,Seaborn,Yellowbrick","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Mathematics ,Man,USA,2.0,20.0,13.0,0.0,5.0,0.0,"Embeddedinatool,Dashboard,Documents,Presentations,Email",no,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no
194,Mostly Self-Taught,Scientist,$100k - $120k,"ggplot2,Highcharts,Leaflet,Plotly,Processing,R,Vega,P5/Processing","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,NetworkDiagram",Private sector,Philosophy ,Man,USA,2.0,4.0,24.0,1.0,2.0,0.0,"Embeddedinatool,Dashboard,StaticWebPage",no,no,yes,yes,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,yes,no,no
